Alphabet,CharClassKind,Quantifier,AlternationDepth,NestingDepth,Operation,InputLength
ascii_alnum,negated,star,1,1,toAutomaton,empty
ascii_lower,set,plus,2,0,determinize,short
ascii_lower,single,plus,1,0,toAutomaton,empty
single_char,set,plus,1,1,determinize,medium
single_char,single,none,1,2,determinize,short
ascii_alnum,single,none,1,1,complement,empty
ascii_lower,negated,none,1,1,toAutomaton,short
unicode_bmp,range,optional,0,0,intersection,short
unicode_bmp,set,optional,2,2,complement,short
ascii_lower,single,optional,1,0,complement,empty
unicode_bmp,single,star,1,0,minimize,short
unicode_bmp,range,none,2,1,determinize,empty
unicode_bmp,range,optional,1,1,toAutomaton,short
unicode_bmp,range,bounded,2,0,union,medium
ascii_lower,range,bounded,1,0,determinize,short
unicode_bmp,range,plus,0,0,complement,medium
ascii_alnum,set,none,1,0,union,short
ascii_alnum,negated,plus,2,0,complement,medium
unicode_bmp,set,none,0,0,complement,short
ascii_alnum,negated,none,1,2,complement,empty
ascii_lower,set,star,1,1,intersection,short
unicode_bmp,range,bounded,2,2,minimize,medium
unicode_bmp,single,none,2,0,toAutomaton,medium
single_char,set,optional,1,2,union,empty
unicode_bmp,negated,optional,2,0,union,empty
ascii_alnum,range,none,0,1,minimize,medium
ascii_lower,single,optional,0,2,toAutomaton,medium
single_char,set,none,0,0,toAutomaton,empty
unicode_bmp,single,bounded,2,2,intersection,empty
ascii_alnum,range,star,0,0,intersection,medium
ascii_lower,set,plus,0,2,union,empty
ascii_lower,single,optional,0,1,union,medium
single_char,set,plus,0,2,toAutomaton,short
ascii_alnum,negated,optional,2,1,union,short
ascii_alnum,set,plus,2,0,minimize,empty
single_char,set,star,0,0,determinize,empty
single_char,set,plus,1,0,minimize,medium
unicode_bmp,range,plus,1,1,intersection,short
ascii_lower,set,bounded,1,0,complement,empty
single_char,set,optional,1,0,toAutomaton,empty
single_char,single,star,1,2,intersection,short
ascii_alnum,single,star,0,2,determinize,short
single_char,single,optional,0,1,determinize,short
ascii_lower,single,bounded,2,0,union,empty
ascii_alnum,single,optional,1,1,intersection,empty
ascii_lower,single,plus,0,0,intersection,medium
ascii_lower,single,none,2,2,union,medium
ascii_alnum,set,optional,2,2,intersection,empty
ascii_alnum,negated,optional,1,2,toAutomaton,medium
ascii_alnum,single,bounded,2,1,determinize,medium
single_char,set,bounded,0,2,determinize,empty
single_char,single,plus,0,1,complement,empty
single_char,set,optional,1,1,minimize,short
ascii_lower,negated,star,2,0,toAutomaton,short
unicode_bmp,range,star,2,2,toAutomaton,empty
unicode_bmp,negated,none,1,0,union,empty
ascii_lower,negated,bounded,0,2,intersection,medium
ascii_alnum,single,star,2,2,complement,medium
single_char,single,optional,1,1,intersection,medium
ascii_lower,negated,plus,0,2,determinize,empty
unicode_bmp,negated,star,0,1,complement,medium
ascii_lower,negated,optional,2,0,determinize,empty
ascii_alnum,negated,bounded,2,1,complement,short
unicode_bmp,negated,plus,0,1,toAutomaton,medium
ascii_alnum,range,none,2,2,toAutomaton,medium
unicode_bmp,single,bounded,1,0,determinize,short
ascii_lower,set,optional,1,1,determinize,medium
single_char,single,star,1,2,minimize,empty
ascii_alnum,negated,plus,2,1,intersection,short
unicode_bmp,negated,star,1,2,union,medium
unicode_bmp,set,star,2,1,toAutomaton,medium
ascii_lower,range,star,1,2,determinize,medium
ascii_alnum,range,optional,2,1,minimize,empty
unicode_bmp,negated,plus,1,1,minimize,medium
ascii_lower,set,none,0,0,minimize,empty
unicode_bmp,set,plus,0,0,determinize,short
single_char,single,plus,1,2,union,medium
ascii_alnum,negated,none,1,0,intersection,short
ascii_lower,range,star,1,1,complement,empty
single_char,single,none,0,1,union,medium
ascii_lower,single,plus,2,2,determinize,short
ascii_lower,single,bounded,1,1,toAutomaton,short
single_char,single,bounded,0,1,toAutomaton,short
ascii_lower,set,none,2,1,determinize,medium
ascii_lower,negated,optional,0,2,complement,short
ascii_alnum,range,plus,2,0,union,medium
single_char,set,none,0,0,intersection,short
single_char,single,none,1,0,minimize,empty
ascii_alnum,set,optional,0,2,determinize,empty
single_char,set,bounded,0,0,minimize,short
ascii_lower,negated,bounded,1,0,determinize,empty
ascii_alnum,set,plus,1,1,complement,short
unicode_bmp,set,plus,2,2,union,medium
unicode_bmp,set,bounded,1,1,intersection,short
single_char,set,none,1,2,complement,empty
ascii_alnum,negated,bounded,0,2,toAutomaton,short
ascii_lower,set,bounded,2,0,toAutomaton,medium
ascii_alnum,single,none,2,2,intersection,medium
ascii_lower,range,optional,0,0,toAutomaton,empty
ascii_alnum,range,plus,0,1,toAutomaton,medium
ascii_lower,negated,star,2,1,minimize,short
ascii_lower,range,optional,0,0,minimize,short
single_char,single,star,0,1,union,short
unicode_bmp,range,optional,0,2,determinize,medium
unicode_bmp,set,star,2,1,minimize,empty
single_char,single,bounded,1,0,union,empty
